Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
https://irys.us/privacy-policy,,ccpa,right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://locatesmarter.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
https://permutive.com/your-california-privacy-rights/,,california consumer privacy act,non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
https://revealmobile.com/privacy/,,ccpa||california consumer privacy act,right to access,privacy policy,['privacy']
https://rrd.com/privacy-policy,,ccpa,nondiscrimination,privacy policy,"['privacy', 'policy']"
https://salesintel.io/privacy-policy/,,ccpa||california consumer privacy act,right to access||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
https://www.blisspointmedia.com/privacy,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
https://www.choreograph.com/website-policy/,,,,privacy policy,['policy']
https://www.cuebiq.com/privacypolicy/,,ccpa||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.focus-usa.com/privacy-policy/,,ccpa||california consumer privacy act,"right to access||only you, or a person registered with the california||authorized representative",privacy policy,"['privacy', 'policy']"
https://www.fourleafdata.com/privacy-policy,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.marinusanalytics.com/privacy-notice-for-california-residents,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,['privacy']
https://xmode.io/privacy-policy.html,,ccpa||california consumer privacy act,right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.checksecrets.com/privacy,,ccpa||california consumer privacy act,"only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,['privacy']
http://www.madisonlogic.com/privacy/,,ccpa||california consumer privacy act,right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://www.mrss.com/privacy-policy/,,ccpa||california consumer privacy act,not be discriminate,privacy policy,"['privacy', 'policy']"
