Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
https://www.linkedin.com/legal/privacy-policy?trk=homepage-basic_footer-privacy-policy,,california privacy,right to access,privacy policy,"['privacy', 'policy']"
https://www.pornhub.com/information/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate,privacy policy,['privacy']
https://www.quora.com/about/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate,privacy policy,['privacy']
https://www.realtor.com/privacy-policy/#your-choices-and-rights,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||nondiscrimination||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://weather.com/en-US/twc/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://genius.com/static/privacy_policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,not discriminate,privacy policy,"['privacy', 'policy']"
http://ign.com/privacy-policy,,california privacy,right to know||not be discriminate,privacy policy,"['privacy', 'policy']"
http://investopedia.com/legal-4768893#editorial-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,not discriminate||authorized agent,privacy policy,['policy']
http://kbb.com/company/privacy-policy/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
http://redtube.com/information#privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized representative,privacy policy,['privacy']
http://shopify.com/legal/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,['privacy']
https://privacy.groupon.com/policies?name=privacy-policy#8-your-choices,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
https://store.steampowered.com/privacy_agreement/?snr=1_4_4__global-responsive-menu,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||authorized agent||not be discriminate,privacy policy,['privacy']
https://www.mlb.com/official-information/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://speedtest.net/about/privacy,,california privacy,right to know||not be discriminate,privacy policy,['privacy']
https://privacy.patreon.com/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,not discriminate||authorized agent,privacy policy,['privacy']
https://www.dictionary.com/e/terms/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||authorized agent,privacy policy,[]
https://www.nfl.com/legal/privacy/#InterestBasedAdvertising,,ccpa||california consumer privacy||california consumer privacy act,not discriminate||authorized agent,privacy policy,['privacy']
https://www.thedailybeast.com/company/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://beenverified.com/faq/privacy/,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
http://carvana.com/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://drudgereport.com/privacy/california/,,ccpa||california consumer privacy||california consumer privacy act,right to know,privacy policy,['privacy']
http://reverb.com/page/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://seattletimes.com/notices/privacy.html#california,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access,privacy policy,['privacy']
http://shein.com/Privacy-Center-a-1045.html,,california consumer privacy||california consumer privacy act,right to access,privacy policy,['privacy']
http://sling.com/offer-details/disclaimers/privacy-policy?footer=true,,ccpa||california consumer privacy||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
http://summitracing.com/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||authorized representative,privacy policy,['privacy']
http://wallethub.com/terms/privacy/,,california privacy,authorized representative,privacy policy,['privacy']
http://wunderground.com/company/privacy-policy,,california privacy||california consumer privacy||california consumer privacy act,right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://about.seekingalpha.com/privacy?source=footer,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
https://fortune.com/california-privacy-policy/#notice,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
https://legal.hubspot.com/privacy-policy?hubs_content=www.hubspot.com/&hubs_content-cta=Privacy%20Policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://myanimelist.net/about/privacy_policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||non-discrimination||not discriminate||authorized representative,privacy policy,"['privacy', 'policy']"
https://nymag.com/newyork/privacy.html,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||nondiscrimination||not discriminate||authorized agent||authorized representative,privacy policy,['privacy']
https://pagesix.com/privacy-notice/,,california privacy,right to access,privacy policy,['privacy']
https://privacy.streamable.com,,ccpa||california consumer privacy||california consumer privacy act,non-discrimination,privacy policy,['privacy']
https://www.eventbrite.com/support/articles/en_US/Troubleshooting/supplemental-privacy-notice-for-california-residents?lg=en_US,,ccpa||california consumer privacy||california consumer privacy act,authorized agent||not be discriminate,privacy policy,['privacy']
http://oreillyauto.com/privacy#consumer-data-notice,,ccpa||california privacy,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
http://papajohns.com/privacy-policy.html,,ccpa||california consumer privacy||california consumer privacy act,right to know||nondiscrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://patch.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,['privacy']
http://pof.com/privacypolicy/,,california privacy,right to access||authorized agent,privacy policy,"['privacy', 'policy']"
http://redbubble.com/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know,privacy policy,['privacy']
http://rei.com/help/us-state-privacy-notice,,california consumer privacy||california consumer privacy act,nondiscrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://telegraph.co.uk/about-us/privacy-and-cookie-policy/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://zendesk.com/company/agreements-and-terms/privacy-notice/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||not discriminate||authorized agent,privacy policy,['privacy']
https://corporate.britannica.com/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,"only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,"['privacy', 'policy']"
https://media.geico.com/legal/privacy_policy.htm?_gl=1*7f4a5s*_ga*MTcyNjUyMDAzOC4xNjcxMTEyNDcw*_ga_91H6GD762W*MTY3MTExMjQ3MC4xLjEuMTY3MTExMzI4Ny41Ni4wLjA.,,ccpa||california privacy,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://privacy.ticketmaster.com/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to access||non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://shop.advanceautoparts.com/o/privacypolicy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
https://time.com/privacy/generic_privacy_new.html,,california privacy,right to know||right to access||authorized agent,privacy policy,['privacy']
